input_prompt,question,correct_answers,output_prediction,processed_answer
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What musician formed a singing duo with Art Garfunkel in 1963?
A:",What musician formed a singing duo with Art Garfunkel in 1963?,"['tico and triumphs', 'paul simon singer', 'paul frederic simon', 'jerry landis', 'kathy chitty', 'paul simon', 'paul simon musician']"," Simon and Garfunkel, also known as Simon and Garfunkel"," Simon and Garfunkel, also known as Simon and Garfunkel"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who was housekeeper to Sherlock Holmes?
A:",Who was housekeeper to Sherlock Holmes?,"['raffles holmes', 'inspector bradstreet', 'mrs hudson', 'wiggins sherlock holmes character', 'shinwell johnson', 'tobias gregson', 'mary morstan', 'mrs watson mary morstan', 'inspector baynes', 'sherrinford holmes', 'inspector gregson', 'athelney jones', 'sherlock holmes character', 'wiggins character in sherlock holmes stories', 'inspector stanley hopkins', 'minor sherlock holmes characters', 'stanley hopkins', 'inspector hopkins']"," Mrs. Hudson
Q: What is the name of the last US President to", Mrs. Hudson
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""
A:","""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""","['harriet araminta ross tubman', 'harriet tubman', 'moses of her people', 'harriet ross tubman', 'harrit tubman', 'nelson davis', 'harriet taubman', 'araminta ross', 'hariet tubman']"," Harriet Beecher Stowe
Q: In physics, the motions of particles", Harriet Beecher Stowe
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What is the name of the convenience store operated by Apu on TVs The Simpson?
A:",What is the name of the convenience store operated by Apu on TVs The Simpson?,"['quickie mart', 'kwikee mart', 'kwik e mart', 'freak e mart', 'kwikemart', 'quick e mart']"," pizza hut
Q: What is the name of Zsa Zsa Gabor", pizza hut
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What is the traditional beverage hoisted by the winners of the Indianapolis 500, a tradition that dates back to 1936?
A:","What is the traditional beverage hoisted by the winners of the Indianapolis 500, a tradition that dates back to 1936?","['sterilized milk', 'walrus milk', 'mammal milk', 'milk jugs', 'whole milk', 'cow milk', 'milk solids', 'sweet milk', 'milk jug', 'milk proteins', 'lowfat milk', 'homo milk', 'liquid milk', 'milk protein', 'reduced fat milk', 'gyunyu', 'milk', 'dudh', 'benefits of drinking milk', 'low fat milk', 'homogenized milk', 'dairy milk', 'breakfast milk', 'milk drink', 'cow s milk', 'food milk', 'cows milk', 'milk beverage', 'bovine milk', 'milker']"," milk
Q: What is the name of the head of the U.S.", milk
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Who played the part of the tragic Jennifer Cavalleri in the 1970 film, """"Love Story""""?""
A:","""Who played the part of the tragic Jennifer Cavalleri in the 1970 film, """"Love Story""""?""","['ali mcgraw', 'ali macgraw']"," ""Who played the part of the tragic Jennifer Cavalleri in the 197"," ""Who played the part of the tragic Jennifer Cavalleri in the 197"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The Japanese condiment wasabi is produced from what part of the the wasabi plant?
A:",The Japanese condiment wasabi is produced from what part of the the wasabi plant?,"['adventitious root', 'roots', 'plant roots', 'tree root', 'plant root', 'deep rooted', 'root', 'rooted', 'adventitious roots', 'peg root', 'shallow rooted', 'root botany']", The Prime Minister of the United Kingdom of Great Britain and Northern Ireland is the head, The Prime Minister of the United Kingdom of Great Britain and Northern Ireland is the head
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The third part of trilogy of Hobbit movies, released at the end of 2014, is called what?
A:","The third part of trilogy of Hobbit movies, released at the end of 2014, is called what?","['hobbit 3 battle of five armies', 'battle of five armies film', 'hobbit there and back again film', 'hobbit 3', 'hobbit battle of 5 armies', 'hobbit battle of five armies movie', 'hobbit battle of five armies', 'hobbit there and back again', 'hobbit part 3']"," the Lord of the Rings: The Return of the King
Q: What is", the Lord of the Rings: The Return of the King
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What is the state capital of the US state of New Jersey?
A:",What is the state capital of the US state of New Jersey?,"['trenton', 'trenton disambiguation']"," Trenton
Q: What is the name of the head of the Commonwealth of", Trenton
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""What is the name of the feast day in the Western Christian calendar which occurs on 29 September to honour the defeat of Lucifer in the battle for the heavens, for which the traditional meal includes goose (a """"stubble-goose"""", i.e. one prepared around harvest time)?""
A:","""What is the name of the feast day in the Western Christian calendar which occurs on 29 September to honour the defeat of Lucifer in the battle for the heavens, for which the traditional meal includes goose (a """"stubble-goose"""", i.e. one prepared around harvest time)?""","['feast of archangels', 'michael and all angels', 'michaelmas', 'struan michael', 'feast of michel', 'feast of st michael', 'michaelmas day', 'feast of michael and all angels', 'michaelmas bannock', 'feast of saint michael and all angels', 'feast of ss michael gabriel and raphael', 'feast of michaelmas', 'feast of saint michael archangel', 'feast of saints michael gabriel and raphael', 'feast of ss michael', 'st michael s day', 'michelmas', 'feast of michael']"," The Feast of the Assumption of the Blessed Virgin Mary, also known as the"," The Feast of the Assumption of the Blessed Virgin Mary, also known as the"
